trial,step_id,frame_start,frame_end,T_step,T_step_unit,L_step_m,v_walk_step
Miftah_Jalan36_clustered_torso,1,22,36,14.0,frames,0.3173185734653835,
Miftah_Jalan36_clustered_torso,2,36,41,5.0,frames,0.44188761942441196,
Miftah_Jalan36_clustered_torso,3,41,46,5.0,frames,0.4183904461573069,
Miftah_Jalan36_clustered_torso,4,46,52,6.0,frames,0.5211177971363437,
Miftah_Jalan36_clustered_torso,5,52,64,12.0,frames,0.6812699714726964,
Miftah_Jalan36_clustered_torso,6,64,75,11.0,frames,0.487777069518771,
Miftah_Jalan36_clustered_torso,7,75,85,10.0,frames,0.5836456540714837,
Miftah_Jalan36_clustered_torso,8,85,97,12.0,frames,0.3990299596030415,
Miftah_Jalan36_clustered_torso,9,97,105,8.0,frames,0.5933776167663126,
Miftah_Jalan36_clustered_torso,10,105,110,5.0,frames,0.21755008394498634,
Miftah_Jalan36_clustered_torso,11,110,115,5.0,frames,0.253884508877968,
